LUNDI;MARDI ;MERCREDI;JEUDI;VENDREDI
;;;;
2023-04-03 00:00:00;2023-04-04 00:00:00;2023-04-05 00:00:00;2023-04-06 00:00:00;2023-04-07 00:00:00
8h00 - 10h00;8h00 - 10h00;8h00 - 10h00;8h00 - 12h15;8h00 - 10h00
;;;;
Chimie Organique;Techniques Chromatographiques;Anglais;T.P.;Techniques Chromatographiques
;;;(Voir planning;
;;;spécifique);
;;;;
;;;;
;;;Groupe 1;
;;;Mathématiques Informatique;
B. ANDRIOLETTI;K. FAURE;;E. JEANNEAU / E. ESPINOSA;K. FAURE
;;;Gr. TP 1B : 8h00 - 10h00;
;;;Salle I300;
;;;Gr. TP 1A : 10h15 - 12h15;
;;;Salle I306;
;;;* * * * * * * * *;
;;;Statistiques;
;;;B. BOUALI / Y. BERRAH;
;;(Voir affichage sur tableau des langues;Gr. TP 1A : 8h00 - 10h00;
Grand Amphi;Grand Amphi;près de la salle E109);Salle I306;Grand Amphi
;;;Gr. TP 1B : 10h15 - 12h15;
10h15 - 12h15;10h15 - 12h15;10h15 - 12h15;Salle I300;10h15 - 12h15
;;;;
Electrochimie;Mécanique Quantique - Chimie;Mécanique Quantique - Chimie;;Techniques Chromatographiques
;Théorique;Théorique;Groupe 2;
;;;Sciences Analytiques;
;;;Bât. D - 2ème étage;
;;;;
;;;;
;;;Groupe 3;
R. FERRIGNO;S. GAGNEUR;S. GAGNEUR;Génie des Procédés;S. BURTIN
;;;Bât. G - RdC;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Grand Amphi;Grand Amphi;Grand Amphi;;Grand Amphi
;;;;
;;;;
13h30 - 17h45;13h30 - 17h45;13h30 - 15h30;13h30 - 17h45;13h30 - 17h45
;;;;
T.P.;;Chimie Organométallique;;T.P.
(Voir planning;;;;(Voir planning
spécifique);;;;spécifique)
;;;;
;PCE;;;
Groupe 1;;A. QUADRELLI;;Groupe 1
Sciences Analytiques;;;;Génie des Procédés
Bât. D - 2ème étage;(Travail Libre);;;Bât. G - RdC
;;;;
;;;;
Groupe 2;;;;Groupe 2
Génie des Procédés;;Grand Amphi;;Mathématiques Informatique
Bât. G - RdC;* * * * * * * * *;;;Gr. TP 2A : 13h30 - 15h30
;;15h45 - 17h45;;Gr. TP 2B : 15h45 - 17h45
;;;;E. JEANNEAU / F. BRUNEL
Groupe 3;;Mécanique Quantique - Chimie;;Salle I306
Mathématiques Informatique;LV2;Théorique;;
N. CHAUSSARD / ML. ZANOTA;;;;
Gr. TP 3B : 13h30 - 15h30;;;;Groupe 3
Salle I300;(Voir affichage sur tableau des langues;;;Sciences Analytiques
Gr. TP 3A : 15h45 - 17h45;près de la salle E109);;;Bât. D - 2ème étage
Salle I306;;;;
* * * * * * * * *;;S. GAGNEUR;;
Statistiques;;;;
B. BOUALI / Y. BERRAH;;;;
Gr. TP 3A : 13h30 - 15h30;* Les horaires de SHES sont ;;;
Salle I306;complémentaires à ceux de LV2.;;;
Gr. TP 3B : 15h45 - 17h45;Si SHES 13h30-15h30 --> LV2 15h45-17h45;;;
Salle I300;Si LV2 13h30-15h30 --> SHES 15h45-17h45;Grand Amphi;;
