;;;;
LUNDI;MARDI ;MERCREDI;JEUDI;VENDREDI
;;;;
2023-04-24 00:00:00;2023-04-25 00:00:00;2023-04-26 00:00:00;2023-04-27 00:00:00;2023-04-28 00:00:00
8h00 - 10h00;8h00 - 10h00;8h00 - 12h15;8h00 - 12h15;8h00 - 10h00
;;;;
TD Chimie Organique;Examen 1ère session;Anglais;T.P.;TD Thermodynamique
 (Groupes : voir affichage TD CO);Statistiques;;(Voir planning; (groupes : voir affichage TD GP)
;;8h00 - 10h00;spécifique);
Grpe 1 : B. PELOTIER / A. RAGO ;;;;Grpe 1 : C. JALLUT  
Algeco H001;;(Voir affichage sur tableau des langues;;Salle F002/003
;;près de la salle E109);Groupe 1;
Grpe 2 : B. ANDRIOLETTI / J. BOYER  ;;;Mathématiques Informatique;Grpe 2 : C. NIKITINE   
Algeco H002;;* * * * * * * * * ;Gr. TP 1B : 8h00 - 10h00;Algeco H001
;Salles F001 + F002/003 + F008 +;;Gr. TP 1A : 10h15 - 12h15;
Grpe 3 : C. GOZZI / J. BREUZARD   ;F004/005 + F006/007;Séance Posters en présence de;E. JEANNEAU / E. ESPINOSA;Grpe 3 : M. DE MONTIGNY
Algeco H003;;représentants de GSK;Salle I306;Algeco H002
;;;;
Grpe 4 : G. BORREGO / F. TOULGOAT   ;;8h00 - 11h15;;Grpe 4 : E. FOURNIER 
Algeco H004;;;Groupe 2;Algeco H003
;;Présence indispensable;Sciences Analytiques;
;(Voir répartition sur tableau d'affichage;;Bât. D - 2ème étage;
;3CGP près des amphis);(cf. Planning sur e-campus);;
;;;;
10h15 - 12h15;10h15 - 12h15;Salles F002 - F003;Groupe 3;10h15 - 12h15
;;;Génie des Procédés;
TD Chimie Organique;Biologie;* * * * * * * * * ;Bât. G - RdC;Techniques Chromatographiques
 (Groupes : voir affichage TD CO);;;;
;;Conférence GSK et remise de prix;;
Grpe 1 : B. PELOTIER / A. RAGO ;;;;
Algeco H001;;11h45 - 12h30;;
;;;;
Grpe 2 : B. ANDRIOLETTI / J. BOYER  ;;Présence indispensable;;
Algeco H002;D. BAAS;;;S. BURTIN
;;Grand Amphi;;
Grpe 3 : C. GOZZI / J. BREUZARD   ;;;;
Algeco H003;;;;
;;;;
Grpe 4 : G. BORREGO / F. TOULGOAT   ;;;;
Algeco H004;;;;
;;;;
;Grand Amphi;;;Grand Amphi
;;;;
;;;;
13h30 - 17h45;13h30 - 17h45;13h30 - 15h30;13h30 - 17h45;13h30 - 17h45
;;;;
T.P.;;Chimie Organométallique;;T.P.
(Voir planning;;;;(Voir planning
spécifique);;;;spécifique)
;;;;
;PCE;;;
Groupe 1;;A. QUADRELLI;;Groupe 1
Sciences Analytiques;;;;Génie des Procédés
Bât. D - 2ème étage;(Travail Libre);;;Bât. G - RdC
;;;;
;;;;
Groupe 2;;;;Groupe 2
Génie des Procédés;;Grand Amphi;;Travail Libre
Bât. G - RdC;* * * * * * * * *;;;
;;15h45 - 17h45;;
;;;;Groupe 3
Groupe 3;;Mécanique Quantique - Chimie;;Sciences Analytiques
Mathématiques Informatique;LV2;Théorique;;Bât. D - 2ème étage
Gr. TP 3B : 13h30 - 15h30;;;;
Gr. TP 3A : 15h45 - 17h45;;;;
N. CHAUSSARD / ML. ZANOTA;(Voir affichage sur tableau des langues;;;
Salle I306;près de la salle E109);;;
;;;;
;;S. GAGNEUR;;
;;;;
;;;;
;* Les horaires de SHES sont ;;;
;complémentaires à ceux de LV2.;;;
;Si SHES 13h30-15h30 --> LV2 15h45-17h45;;;
;Si LV2 13h30-15h30 --> SHES 15h45-17h45;Grand Amphi;;
