"LUNDI
";MARDI;MERCREDI;JEUDI;VENDREDI
17/04/20223;18/04/2023;19/04/2023;20/04/2023;21/04/2023
8h-10h;8h-12h15;8h-10h;8h-10h;8h-10h
CS-PC;P3-CEE-1-Cours/TD;GROUPES C & D;CS-PC;GROUPES C & D
Programmation;Conversion de;P3-CEE-2-Cours/TD;Programmation;P3-CEE-Cours/TD
concurrente;l'énergie électrique;Y. Fellah;concurrente;
T. Limane;Y. Fellah;PETIT AMPHI;T. Limane;Y. Fellah
PETIT AMPHI;;8h-10h;PETIT AMPHI;PETIT AMPHI
;GROUPES A & B;GROUPE A;;
;8h-10h;TD - ELN3;;
;;N. Abouchi;;
;;salle F001;;
;GROUPES C & D;;;
;10h15-12h15;GROUPE B;;
;;TD - ELN3;;
;;F. Joly;;
;PETIT AMPHI;salle E109;;
10h15-12h15;;10h15-12h15;10h15-12h30;10h15-12h15
ELN3;;GROUPE C;ATELIER;GROUPES A & B
;;TD - ELN3;;
Architecture des;;N. Abouchi;CV;P3-CEE-Cours/TD
systèmes à;;salle F001;;
microprocesseur;;;L. Forgeot d'Arc;
;;GROUPE D;;
N. Abouchi;;TD - ELN3;salle F003/F004;Y. Fellah
;;F. Joly;;
PETIT AMPHI;;salle E109;Lien d’inscription pour;PETIT AMPHI
;;;l’atelier de relecture de CV ci-;
;;;dessous;
;;10h15-12h15;;
;;GROUPES A & B;https://cpelyon.jobteaser.com/fr/;
;;P3-CEE-2-Cours/TD;events/182197-relecture-de-;
;;Y. Fellah;votre-cv-30-minutes-avec-des-;
;;;recruteurs-d-entreprises-;
;;PETIT AMPHI;partenaires;
13h30-15h30;13h30-15h30;13h30-15h30;;13h30-15h30
;ou;;;
ELN3;15h45-17h45;TSI;;TSI
Architecture des;PCE;Traitement et;;Traitement et
systèmes à;;synthèse d'image;;synthèse d'image
microprocesseur;;;;
N. Abouchi;;T. Dupond;;T. Dupond
PETIT AMPHI;;PETIT AMPHI;;PETIT AMPHI
15h45-17h45;;15h45-17h45;;
"TSI
Traitement et
synthèse d'image
T. Dupond
PETIT AMPHI";;P3-CEE-3;;
;;Conversion de;;
;;l'énergie électrique;;
;;Y. Fellah;;
;;PETIT AMPHI;;
