"LUNDI
";"MARDI
";"MERCREDI
";"JEUDI
";"VENDREDI
"
2023-04-24 00:00:00;2023-04-25 00:00:00;2023-04-26 00:00:00;2023-04-27 00:00:00;2023-04-28 00:00:00
;8h-12h15;8h-10h;8h-12h15;8h-12h15
;"GROUPE A
";TSI;"GROUPE A
";GROUPE A
;TP ELN3;Traitement et;TP CS-PC;"TP P3-CEE
salle I105"
;salle I300;synthèse d'image;salle I304;
;GROUPE B;T. Dupond;GROUPE B;GROUPE B
;TP TSI;PETIT AMPHI;TP ELN3;"TP CS-PC
salle I304"
;salle I302;;salle I200;GROUPE C
;GROUPE C;;GROUPE C;TP ELN3
;TP P3-CEE;;TP TSI;salle I200
;salle I105;;salle I302;GROUPE D
;GROUPE D;;GROUPE D;TP TSI
;TP CS-PC;;TP P3-CEE;salle I207
10h15-12h15;salle I304;10h15-12h15;salle I105;
ELN3;;ANGLAIS 1;;
"Architecture des
systèmes à
microprocesseur";;;;
;;(Voir affichage sur tableau des;;
N. Abouchi;;langues à côté de la salle E109);;
PETIT AMPHI;;;;
13h30-17h45;13h30-15h30;13h30-15h30;;13h30-15h30
;ou;;;
GROUPE A;15h45-17h45;P3-CEE-5;;CS-PC
"TP TSI
";"LV2-2
(Voir affichage sur tableau des
langues à côté de la salle E109)";Conversion de;;Programmation
salle I302;;l'énergie électrique;;concurrente
GROUPE B;;D. Chouiter;;T. Limane
TP P3-CEE;;PETIT AMPHI;;PETIT AMPHI
salle I105;;;;15h45-17h45
GROUPE C;;;;TD - ELN3
TP CS-PC;;;;GROUPES ABCD
salle I203;;;;N. Abouchi / F. Joly
GROUPE D;;;;PETIT AMPHI
TP ELN3;;;;
salle I200;;;;
