LUNDI;MARDI ;MERCREDI;JEUDI;VENDREDI;;;;;
;;;;;;;;;
03/04/2023;04/04/2023;05/04/2023;06/04/2023;07/04/2023;;;;;
8h00 - 12h15;8h00 - 12h15;8h00 - 12h15;8h00 - 12h15;8h00 - 10h00;;;;;
;;;;;;;;;
Examen 1ère session;Groupe A;Groupe A;Modules Semi-Optionnels;Modules Semi-Optionnels;;;;;
Modules semi-optionnels;Etude de cas - Formulation;Pas de Cours;Série 5;Série 4;;;;;
Série 2;8h00 - 12h15;;;;;;;;
;Petit Amphi;;Conception et Application du;Synthèse de molécules bioactives;;;;;
Stratégie de Synthèse Organique;;Groupe B;Médicament;8h00 - 12h15;;;;;
10h30 - 12h30;;Pas de Cours;8h00 - 12h15;T. BILLARD;;;;;
Salle F002/003;Groupe B;;T. BILLARD;Salle E109;;;;;
;Projets d'Industrialisation;;Petit Amphi;;;;;;
Ingéniérie Macromoléculaire;8h00 - 12h00;Groupe C;;De la molécule aux nanomatériaux;;;;;
10h30 - 12h30;Groupes B1 à B6 : J-P. HERAUD;TP Formulation;Techniques Séparatives avancées;8h00 - 10h00 : S. DANIELE;;;;;
Salle F006/007;Salle E109;8h00 - 12h15;et Spéciation;10h15 - 12h15 : C. THIEULEUX;;;;;
;Groupes B7 à B12 : J. GROLLEMUND;Labo Cinétique - Bât. D - 3ème étage;8h00 - 12h15;Algeco H003;;;;;
Spectrométries RMN et Masse Avancées;Salle F001;;K. FAURE;;;;;;
10h30 - 12h30;;;Salle F101;Chimie nucléaire, mesure, analyse et;;;;;
Salle F002/003;;;;cycle du combustible;;;;;
;Groupe C;;Catalyse et Développement Durable;8h00 - 10h00 : C. OBERLIN;;;;;
Introduction aux Biotechnologies et;Pas de Cours;;8h00 - 10h00 : J. BOUSQUET;10h15 - 12h15 : N. MONCOFFRE;;;;;
Bioprocédés;;;10h15 - 12h15 : A. QUADRELLI;Salle F101;;;;;
10h30 - 12h30;;;Salle F001;;;;;;
Salles F004/005 et F008;;;;Chimie et Numérique;;;;;
;;;Génie de la Polymérisation;8h00 - 12h15;;;;;
Simulation des Procédés;;;8h00 - 10h00;O. CARRILLO;;;;;
8h00 - 10h00 : Groupe 1;;;T. MCKENNA;Salle I203;;;;;
10h00 - 12h00 : Groupe 2;;;Salle G109;;;;;;
Salle I300;;;;Microbiologie, Immunologie, Eléments;;;;;
;;;Méthodes Spectroscopiques pour la;de génie génétique;;;;;
Chimie Organométallique et Approche ;;;Synthèse Organique;8h00 - 12h15;;;;;
Orbitalaire;;;8h00 - 10h00 : A. BAUDOUIN;S. BUFFIN;;;;;
10h30 - 12h30;;;10h15 - 12h15 : A. RENAUDAT;Petit Amphi;;;;;
Salle F006/007;;;Salle E109;;;;;;
;;;;;;;;;
;;;Méthodes Numériques;;;;;;
;;;Pas de Cours;;;;;;
;;;;;;;;;
;;;;;;;;;
13h10 - 18h00;13h30 - 17h45;13h30 - 17h45;13h30 - 17h45;13h30 - 17h45;;;;;
;;;;;;;;;
;Groupe A;Groupe A;;Modules Semi-Optionnels;;;;;
;Pas de Cours;Projets d'Industrialisation;;Série 5;;;;;
;;13h30 - 17h30;;;;;;;
;;Groupes A1 à A3 : C. CROISET;;Conception et Application du;;;;;
;Groupe B;Salle E109;;Médicament;;;;;
;Etude de cas - Formulation;Groupes A4 à A6 : JM. PAUTROT;;13h30 - 17h45;;;;;
;8h00 - 12h15;Salle F101;;T. BILLARD;;;;;
;Salle F004/005;Groupes A7 à A12 : M. ARNAUD;;Salle F006/007;;;;;
;;Salle F001;;;;;;;
;;;;Techniques Séparatives avancées;;;;;
LANGUES;Groupe C;;;et Spéciation;;;;;
;Projets d'Industrialisation;Groupe B;;13h30 - 17h45;;;;;
;13h30 - 17h30;Pas de Cours;;K. FAURE;;;;;
;Groupes C1 à C6 : P. CUILLE;;;Salle F101;;;;;
;Salle F001;;;;;;;;
;Groupes C7 à C12 : M. DOLIDIER;Groupe C;;Catalyse et Développement Durable;;;;;
;Salle F002;Etude de cas - Formulation;;13h30 - 15h30;;;;;
;;13h30 - 17h45;;J. BOUSQUET;;;;;
;;Algeco H001;;Salle F002;;;;;
(Voir planning spécifique sur le tableau;;;;;;;;;
des langues situé près de la salle E109) ;;;;Génie de la Polymérisation;;;;;
;;;;13h30 - 15h30;;;;;
;;;;T. MCKENNA;;;;;
;;;;Salle E109;;;;;
;;;;;;;;;
;;;;Méthodes Spectroscopiques pour la;;;;;
;;;;Synthèse Organique;;;;;
;;;;13h30 - 15h30;;;;;
;;;;G. BORREGO;;;;;
;;;;Salle F001;;;;;
;;;;;;;;;
;;;;Méthodes Numériques;;;;;
;;;;Pas de Cours;;;;;
