LUNDI;MARDI;MERCREDI;JEUDI;VENDREDI
17-avr;18-avr;19-avr;20-avr;21-avr
8h-12h15;8h-12h15;8h-12h15;8h-12h15;8h-12h15
CONCEP.LOGICIELLE/BIG DATA;GROUPE B;GROUPE A & B;GROUPE D;CONCEP.LOGICIELLE/BIG DATA
TIDAL;;;;
;;Projet;;
"Y. JOLY
Salle G105";"Projet
F. JOLY
Salle I105";F. JOLY;"Projet
F. JOLY
Salle I105";"Architecture des Systèmes
d'Information
J.SARAYDARYAN
Salle G102"
ROBOTIQUE;;Salle I105 - Groupe B;;
TIDAL;;Salle I200 - Groupe A;;ROBOTIQUE
Y. JOLY;;CONCEP.LOGICIELLE/BIG DATA;ROBOTIQUE;Interaction Homme/Robot
Salle G103;;GROUPE C&D;GROUPE A&B;"F.JUMEL
Salle I302
8h30-12h30"
ELECTRONIQUE ET SYST EMB;CONCEP.LOGICIELLE/BIG DATA;TIDAL;"TIDAL
Y. JOLY
Salle G102";
Communications numériques;GROUPE C &D;Y. JOLY;;ELECTRONIQUE ET SYST EMB
N.LEBEDEV;"Conception Orientée Objet et
Design Patterns
B.MASCRET
Salle G103 - Groupe C
Salle G105 - Groupe D";Salle G103;;"Communications numériques
N.LEBEDEV
Salle G108"
Salle G108;;ROBOTIQUE;ROBOTIQUE;
;;GROUPE C&D;GROUPE A&B;
INFRA DES RESEAUX;;TIDAL;;INFRA DES RESEAUX
Communications numériques;GROUPE C&D;Y. JOLY;"TIDAL
Y. JOLY
Salle G102";"Communications numériques
N.LEBEDEV
Salle G108"
;;Salle G103;;
"N.LEBEDEV
Salle G108";"Interaction Homme/Robot
F.JUMEL
Salle I207";;;
IMAGE;;ELECTRONIQUE ET SYST EMB;;IMAGE
;;GROUPE C&D;;
10h15-12h15;;Electronique analogique;;Programmation en C++
Modelisation;;intégrée;;
;;R.CELLIER;;
T.DUPONT;;CIMIRLY (INSA);;"T.DUPONT
Salle F001
10h30-12h30"
Salle E109;;Grp C-D;;
;;;;
13h10-18h;13h30-17h45;13h30-17h45;13h30-15h30;13h30-17h45
;GROUPE C&D;CONCEP.LOGICIELLE/BIG DATA;Groupe C;MSO1 OUVERTURE
;"Projet
F. JOLY
Salle I105 - Groupe D
Salle I203 - Groupe C";GROUPE A & B;;"AWS Cloud Foundations
T.AUFORT / Y.COSSIN/
T.PONTHIEU
Salle G102"
;;TIDAL;;
;;Y. JOLY;;
;;Salle G103;;
;;13h30-15h30;;
;;ROBOTIQUE;;
;;GROUPE A & B;;
;;TIDAL;;
;CONCEP.LOGICIELLE/BIG DATA;Y. JOLY;;
LV;GROUPE A & B;Salle G103;"TD Droit
C.ROBINNEAU
Salle E109";"Information géographique
13h00-17h00
L. DUPONT
Salle G105"
;;13h30-15h30;;
;;ELECTRONIQUE ET SYST EMB;15h45-17h45;
;;Communications numériques;Groupe D;
;;N.LEBEDEV;;
(Voir planning);"Conception Orientée Objet et
Design Patterns
B.MASCRET
Salle G103 - Groupe A
Salle G105 - Groupe B";Salle G108;"TD Droit
C.ROBINNEAU
Salle E109";"Conception architecture
système
L. GUILLEMAUD
Salle Gd Conseil"
;ROBOTIQUE;;;
;GROUPE A&B;INFRA DES RESEAUX;;
;"Interaction Homme/Robot
F.JUMEL
Salle I207";Communications numériques;;"Information quantique
B. FEDRICI
Salle G108"
;;N.LEBEDEV;;
;;Salle G108;;
;ELECTRONIQUE ET SYST EMB;IMAGE;;
;GROUPE A&B;13h30-15h30;;Algorithmique et Informatique
;"Electronique analogique intégrée
R.CELLIER
CIMIRLY (INSA)
Grp A-B";Analyse d'images;;Théorique
;;P.GONCALVES;;
;;Salle E109;;G.MOREL
;;;;Salle G103
;;15h45-17h45;;
;;Modelisation;;
;;T.DUPONT;;
;;Salle E109;;
