LUNDI;MARDI;MERCREDI;JEUDI;VENDREDI;
06/02/2023;07/02/2023;08/02/2023;09/02/2023;10/02/2023;
;8h-10h;8h-10h;8h-12h30;8h-10h;
;;;;;
;GROUPE A;;;GROUPE D;
;TD SP2;;;TD P2-OPP;
;L. Sayaque;;;A. Gaci;
;salle E109;;BDE;;
;;BDE;;salle F001;
;10h15-12h15;;;;
;;;;;
;GROUPE A;;;;
;TT ELA2;;;;
;R. Cellier;;;;
;salle E109;;;;
;;;;;
;;;;;
;10h15-12h15;;;;
;;;;;
;GROUPE B;;;;
;TD P2-OPP;;;;
;A. Gaci;;;;
10h15-12h15;salle F002;10h15-12h15;10h15-12h15;10h15-12h15;
;;;;;
SP2 - TNS;;P2-OPP;GROUPE C;ELN2;
;8h-10h;;TD P2-OPP;;
Traitement ;;Optique, Physique;A. Gaci;Approfondissement;
numérique ;GROUPE D; et Photonique;;des systèmes;
du signal;TT ELA2;;salle E109;d'électronique;
;R. Cellier;;;numérique;
E. Van-Reeth;salle F001;;;;
;;A. Gaci;;S. Nicolle;
;10h15-12h15;;;;
AMPHI I;;AMPHI I;;AMPHI I;
;GROUPE D;;;;
;TD SP2;;;;
;R. Déléat-Besson;;;;
;salle F001;;;;
;;;;;
13h30-15h45;13h30-15h30;13h30-15h30;;;
;ou;;;;
GROUPE A;15h45-17h45;ELN2;;;
TD P2-OPP;;;;;
A. Gaci;;Approfondissement;;;
salle F002;PCE;des systèmes;;;
;;d'électronique;;;
;Ateliers Finances;numérique;;;
13h30-15h30;;;;;
;;A. Massouri;;;
GROUPE B;GRAND AMPHI;;;;
TD SP2;;;;;
M. Bontonou;;AMPHI I;;;
salle E109;13h30-15h30;;;;
;ou;;;;
;15h45-17h45;15h45-17h45;;;
15h45-17h45;;;;;
;;;;;
GROUPE B;LV2-2;;;;
TT ELA2;;;;;
R. Cellier;(Voir affichage sur tableau des;BDE;;;
salle E109; langues à côté de la salle E109);;;;
;;;;;
13h30-15h30;;;;;
;;;;;
GROUPE C;;;;;
TT ELA2;;;;;
R. Cellier;;;;;
salle F001;;;;;
;;;;;
15h45-17h45;;;;;
;;;;;
GROUPE C;;;;;
TD SP2;;;;;
E. Van-Reeth;;;;;
salle F001;;;;;
;;;;;
;;;;;
