LUNDI;MARDI;MERCREDI;JEUDI;VENDREDI
03-avr;04-avr;05-avr;06-avr;07-avr
8h-12h15;8h-12h15;8h-12h15;8h-12h15;8h-12h15
ONCEP.LOGICIELLE/BIG DAT;A GROUPE A;GROUPE A & B;GROUPE C;CONCEP.LOGICIELLE/BIG DATA
;;;Projet;
Pas de cours;"Projet
F. JOLY
Salle I203";"Projet
F. JOLY
Salle I105 - Groupe A
Salle I200 - Groupe B";F. JOLY;Pas de cours
ROBOTIQUE;;;Salle I105;ROBOTIQUE
;;ROBOTIQUE;ROBOTIQUE;Modélisation des Robots
Pas de cours;;GROUPE C&D;GROUPE A & B;"R.LEBER
Salle H001
08h00 à 10h00"
;;;Interaction Homme/Robot;
ELECTRONIQUE ET SYST EMB;;"Interaction Homme/Robot
F.JUMEL
Salle I207";F.JUMEL;ELECTRONIQUE ET SYST EMB
Communications numériques;;;Salle I207;Communications numériques
N.LEBEDEV;;;;N.LEBEDEV
Salle E109;;;;Salle G108
08h00 à 10h00;;;;
INFRA DES RESEAUX;;;;INFRA DES RESEAUX
Communications numériques;;;;Communications numériques
N.LEBEDEV;;;;N.LEBEDEV
Salle E109;;;;Salle G108
08h00 à 10h00;;;;
IMAGE;;;;IMAGE
Traitement d'images;;;;Analyse Numérique
E. VAN REETH;;;;S.MAZAURIC
08h30 à 10h30;;;;10h30 à 12h30 :
Salle G102;;;;Salle H001
13h10-18h;13h30-17h45;13h30-17h45;13h30-17h45;13h30-17h45
;GROUPE C&D;CONCEP.LOGICIELLE/BIG DATA;;MSO1 OUVERTURE
;"Projet
F. JOLY
Salle I105 - Groupe C
Salle I203 - Groupe D";Pas de cours;Séance Rattrapage TP;"AWS Cloud Foundations
T.AUFORT / Y.COSSIN/
T.PONTHIEU
Salle G102"
;;;Analyse Numérique;
;;ROBOTIQUE;S.MAZAURIC;
LV;;Pas de cours;Salle I306;"Information géographique
13h00-17h00
L. DUPONT
Salle G105"
;;ELECTRONIQUE ET SYST EMB;;
(Voir planning);;"Communications numériques
N.LEBEDEV
Salle I207";;"Conception architecture
système
L. GUILLEMAUD
Salle Grand Conseil"
;;INFRA DES RESEAUX;;
;;"Communications numériques
N.LEBEDEV
Salle I207";;"Information quantique
B. FEDRICI
Salle G108"
;;IMAGE;;
;;"Programmation générique en
C++
T.DUPONT
Salle I301";;"Algorithmique et Informatique
Théorique
G.MOREL
Salle I302"
