LUNDI;MARDI;MERCREDI;JEUDI;VENDREDI
27-févr;28-févr;01-mars;02-mars;03-mars
8h-12h15;8h-12h15;8h-12h15;8h-12h15;8h-10h
CONCEP.LOGICIELLE/BIG DATA;CONCEP.LOGICIELLE/BIG DATA;GROUPE A&B;CONCEP.LOGICIELLE/BIG DATA;"Gestion
F.D'ASGNANNO
Petit Amphi"
Pas de cours;"Bases de Données
J.CHEVALIER/M.LAGARRIGUE
Salle I203  AUBRY à GONNET
F008  GORVIEN à TELEP";"Projet
F. JOLY
Salle I105 - Groupe A
Salle I200 - Groupe B";"Data Mining
J. SAMUEL
Salle G102";
;;;;
;;;;
;;;;
;;;;
ROBOTIQUE;ROBOTIQUE;;ROBOTIQUE;
"Modélisation des Robots
R.LEBER
Salle G108";"Administration système et
gestion de codes
F.JUMEL
Salle G103
08h30-11h30";8h-10h;"Data Mining
J. SAMUEL
Salle G105";
;;Groupe C;;
;;"TD Gestion
F.D'ASGNANNO
Salle E109";;
;;;;
;;;;
;;;;
ELECTRONIQUE ET SYST EMB;ELECTRONIQUE ET SYST EMB;;ELECTRONIQUE ET SYST EMB;
"Composants électroniques
A.SOUIFI
Salle E109";"Techniques avancées de conception des systèmes numériques
A. MASSOURI
10h30 - 12h30 - Salle H001";;"Composants électroniques
D.CHOUITER
Salle F003";
;;10h15-12h15;;10h15-12h15
;;Groupe D;;"Gestion
F.D'ASGNANNO
Petit Amphi"
;;"TD Gestion
F.D'ASGNANNO
Salle E109";;
;;;;
INFRA DES RESEAUX;INFRA DES RESEAUX;;INFRA DES RESEAUX;
"Architecture des réseaux locaux
LAN
R.FANTAUZZI
Salle G103
09h00-12h30";"Sécurité systèmes/réseaux
P. BULLIAN
Salle I207";;"Cloud et Virtualisation
O.CARRILLO
Salle G108";
;;;;
;;;;
;;;;
IMAGE;IMAGE;;IMAGE;
"ACP
S.MAZAURIC
Salle I304";"Programmation générique en
C++
T.DUPONT
Salle G109
G105 mobile en +";;"Optimisation
E.VAN REETH / S.MAZAURIC
Salle I302";
;;;;
;;;;
;;;;
;;;;
13h10-18h;13h30-17h45;13h30-17h45;13h00-15h00;13h30-17h45
"LV
(Voir planning)";GROUPE C&D;CONCEP.LOGICIELLE/BIG DATA;"Présentation Stages & Entretiens
TX_ GROUP
E.BERGERARD
Salle E109";MSO1 OUVERTURE
;"Projet
F. JOLY
Salle I105 - Groupe C
Salle I200 - Groupe D";"Administration système
G.MOREL/ A .CHOMIENNE
Salle G103   AUBRY à GONNET
Salle G108 GORVIEN à TELEP";;"AWS Cloud Foundations
O.CARRILLO /  G.MOREL
Salle G102"
;;;;
;;;;
;;;;
;;;;
;;;;"Information géographique
13h00-17h00
L. DUPONT
Salle G103"
;;ROBOTIQUE;;
;;Pas de cours;;
;;;;
;13h30-15h30;;;
;GROUPE A;;;
;"TD Gestion
F.D'ASGNANNO
Salle F005";;;"Conception architecture
système
L. GUILLEMAUD
Salle  Grand Conseil"
;;;;
;;ELECTRONIQUE ET SYST EMB;;
;;"Electronique analogique intégrée
13h30-15h30- Grp A-B
15h45-17h45- Grp C-D
CIMIRLY (INSA)";;
;;;;
;;;;
;;;;"Information quantique
B. FEDRICI
Salle G108"
;;;;
;15h45-17h45;INFRA DES RESEAUX;15h00-17h45;
;GROUPE B;"Le routage dans les réseaux IP
T.ASFOUR
Salle I304";;
;"TD Gestion
F.D'ASGNANNO
Salle F005";;;
;;;;
;;;;"Algorithmique et Informatique Théorique
G.MOREL
Salle I302"
;;;;
;;IMAGE;;
;;"Traitement d'images
E.VAN REETH
Salle E109
13h30-15h30";;
;;;;
;;;;
;;;;
;;;;
