LUNDI,MARDI,MERCREDI,JEUDI,VENDREDI
27-févr,28-févr,01-mars,02-mars,03-mars
8h-12h15,8h-12h15,8h-12h15,8h-12h15,8h-10h
CONCEP.LOGICIELLE/BIG DATA,CONCEP.LOGICIELLE/BIG DATA,GROUPE A&B,CONCEP.LOGICIELLE/BIG DATA,
Pas de cours,Bases de Données,Projet,Data Mining,
,J.CHEVALIER/M.LAGARRIGUE,,,
,,F. JOLY,J. SAMUEL,
,Salle I203  AUBRY à GONNET,Salle I105 - Groupe A,Salle G102,
,F008  GORVIEN à TELEP,Salle I200 - Groupe B,,Gestion
ROBOTIQUE,ROBOTIQUE,,ROBOTIQUE,F.D'ASGNANNO
Modélisation des Robots,"Administration système etgestion de codes",8h-10h,Data Mining,Petit Amphi
,,Groupe C,,
R.LEBER,,,,
Salle G108,F.JUMEL,TD Gestion,J. SAMUEL,
,Salle G103,F.D'ASGNANNO,Salle G105,
,08h30-11h30,Salle E109,,
ELECTRONIQUE ET SYST EMB,ELECTRONIQUE ET SYST EMB,,ELECTRONIQUE ET SYST EMB,
Composants électroniques,Techniques avancées de conception des systèmes numériques,,Composants électroniques,
,,10h15-12h15,,10h15-12h15
A.SOUIFI,,Groupe D,D.CHOUITER,
Salle E109,A. MASSOURI,,Salle F003,
,10h30 - 12h30 - Salle H001,TD Gestion,,Gestion
INFRA DES RESEAUX,INFRA DES RESEAUX,F.D'ASGNANNO,INFRA DES RESEAUX,F.D'ASGNANNO
"Architecture des réseaux locaux
LAN",Sécurité systèmes/réseaux,Salle E109,Cloud et Virtualisation,Petit Amphi
R.FANTAUZZI,P. BULLIAN,,O.CARRILLO,
Salle G103,Salle I207,,Salle G108,
09h00-12h30,,,,
IMAGE,IMAGE,,IMAGE,
ACP,"Programmation générique en
C++",,Optimisation,
S.MAZAURIC,T.DUPONT,,E.VAN REETH / S.MAZAURIC,
Salle I304,Salle G109,,Salle I302,
,G105 mobile en +,,,
,,,,
13h10-18h,13h30-17h45,13h30-17h45,13h00-15h00,13h30-17h45
,GROUPE C&D,CONCEP.LOGICIELLE/BIG DATA,,MSO1 OUVERTURE
,Projet,Administration système,Présentation Stages & Entretiens,AWS Cloud Foundations
,,,TX_ GROUP,O.CARRILLO /  G.MOREL
,F. JOLY,G.MOREL/ A .CHOMIENNE,,
,,Salle G103   AUBRY à GONNET,E.BERGERARD,Salle G102
,Salle I105 - Groupe C,Salle G108 GORVIEN à TELEP,,
,Salle I200 - Groupe D,,Salle E109,Information géographique
,,ROBOTIQUE,,13h00-17h00
,,Pas de cours,,L. DUPONT
LV,,,,Salle G103
,13h30-15h30,,,
,GROUPE A,,,
,,,,Conception architecture
,,,,système
,TD Gestion,ELECTRONIQUE ET SYST EMB,,L. GUILLEMAUD
(Voir planning),F.D'ASGNANNO,Electronique analogique intégrée,,Salle  Grand Conseil
,Salle F005,,,
,,13h30-15h30- Grp A-B,,
,,15h45-17h45- Grp C-D,,Information quantique
,,CIMIRLY (INSA),,
,15h45-17h45,INFRA DES RESEAUX,15h00-17h45,B. FEDRICI
,GROUPE B,Le routage dans les réseaux IP,,Salle G108
,,,,
,,T.ASFOUR,,
,TD Gestion,Salle I304,,Algorithmique et Informatique Théorique
,F.D'ASGNANNO,,,
,Salle F005,IMAGE,,
,,Traitement d'images,,G.MOREL
,,,,Salle I302
,,E.VAN REETH,,
,,Salle E109,,
,,13h30-15h30,,
