LUNDI;MARDI;MERCREDI;JEUDI;VENDREDI;
27-mars;28-mars;29-mars;30-mars;31-mars;
8h30-12h30;8h-12h15;8h-12h15;8h-12h15;8h-12h15;
;GROUPE B;GROUPE A & B;GROUPE D;CONCEP.LOGICIELLE/BIG DATA;
;Projet;Projet;Projet;;
;;;;Pas de cours;
;F. JOLY;F. JOLY;F. JOLY;;
;;Salle I105 - Groupe B;;;
;Salle I207;Salle I200 - Groupe A;Salle i203;ROBOTIQUE;
CMH;CONCEP.LOGICIELLE/BIG DATA;CONCEP.LOGICIELLE/BIG DATA;CONCEP.LOGICIELLE/BIG DATA;Modélisation des Robots;
;GROUPE C &D;GROUPE C &D;GROUPE A&B;R.LEBER;
8h30-10h TD surdité;TIDAL;TIDAL;TIDAL;Salle G102;
10h15 12h15 TD cancer et;Y.JOLY;Y.JOLY;Y.JOLY;ELECTRONIQUE ET SYST EMB;
travail;;;;Electronique analogique intégrée;
;Salle G102;Salle G102;Salle G102;;
;;;;R.CELLIER;
C.DESROCHES;ROBOTIQUE;ROBOTIQUE;ROBOTIQUE;Salle F002/003;
Salle F002;GROUPE C &D;GROUPE C &D;GROUPE A&B;10h15-12h15;
;TIDAL;TIDAL;TIDAL;INFRA DES RESEAUX;
;;;;Le routage dans les réseaux IP;
;Y.JOLY;Y.JOLY;Y.JOLY;T.ASFOUR;
;;;;Salle;G108
;Salle I302;Salle G103;Salle G103;08h00-12h00;
;;;;IMAGE;
;;;;Optimisation;
;;;;E.VAN REETH / S.MAZAURIC;
;;;;Salle;F004/005
;;;;10h30-12h30;
13h10-18h;13h30-17h45;13h30-15h00;13h30-17h45;13h30-17h45;
;GROUPE C&D;Gestion;;MSO1 OUVERTURE;
;;;;AWS Cloud Foundations;
;Projet;F.D'ASGNANNO;;T.AUFORT / Y.COSSIN/;
;;Salles F004/005;;T.PONTHIEU;
;F. JOLY;F006/007& F008;;;
;;;;Salle G102;
;Salle I105 - Groupe D;;;;
;Salle I203 - Groupe C;Voir répartition;;Information géographique;
;;(tableau d'affichage 4ETI);;13h00-17h00;
;CONCEP.LOGICIELLE/BIG DATA;;;L. DUPONT;
LV;GROUPE A&B;;;Salle G103;
;TIDAL;;;;
;;;;Conception architecture;
;Y.JOLY;;;système;
;;;;L. GUILLEMAUD;
(Voir planning);Salle G102;;;Salle;F008
;ROBOTIQUE;;;;
;GROUPE A&B;;;Information quantique;
;TIDAL;;;;
;;;;B. FEDRICI;
;;;;Salle G108;
;Y.JOLY;;;;
;Salle G108;;;Algorithmique et Informatique;
;;;;Théorique;
;;;;G.MOREL;
;;;;Salle I302;
