LUNDI;MARDI;MERCREDI;JEUDI;VENDREDI
20-mars;21-mars;22-mars;23-mars;24-mars
8h-12h15;8h-12h15;8h-12h15;8h-12h15;8h-12h15
C ONCEP.LOGICIELLE/BIG DATA;CONCEP.LOGICIELLE/BIG DATA;GROUPE A & B;GROUPE C;CONCEP.LOGICIELLE/BIG DATA
Data Mining;TIDAL;Projet;Projet;Administration Système
;Y.JOLY;;;G.MOREL
"J.SAMUEL
Salles G103 + I300
10h30-12h30";Salle I203;F. JOLY;F. JOLY;Salles I300 +I306
;;;;10h30 - 12h30
ROBOTIQUE;ROBOTIQUE;Salle I105 - Groupe A;Salle I105;ROBOTIQUE
Data Mining;TIDAL;Salle I200 - Groupe B;;Modélisation des Robots
;Y.JOLY;;;R.LEBER
"J.SAMUEL
Salle G108
10h30-12h30";Salle I207;;;Salle G108
ELECTRONIQUE ET SYST EMB;ELECTRONIQUE ET SYST EMB;8h-12h15;8h-12h15;ELECTRONIQUE ET SYST EMB
Composants électroniques;;"ROBOTIQUE
GROUPE C&D";"ROBOTIQUE
GROUPE A&B";Communications numériques
"A.GACI
Salle H001
9h00-10h00";Pas de cours;Interaction Homme/Robot;Interaction Homme/Robot;N.LEBEDEV
;;;;Salle F004/005
;;F.JUMEL;F.JUMEL;10h15 à 12h15
INFRA DES RESEAUX;INFRA DES RESEAUX;Salle I102;Salle I102;INFRA DES RESEAUX
Cloud et Virtualisation;Le routage dans les réseaux IP;;;Communications numériques
;T.ASFOUR;;;N.LEBEDEV
"O.CARRILLO
Salle G108
8h00-10h00";Salle G103;ELECTRONIQUE ET SYST EMB;;Salle F004/005
;;Electronique analogique;;10h15 à 12h15
IMAGE;IMAGE;intégrée;;IMAGE
"Traitement d'images
E. VAN REETH
Salle I304";Optimisation;R.CELLIER;;Interpolation
;;CIMIRLY (INSA);;
;E. VAN REETH / S.MAZAURIC;Groupe C-D;;S.MAZAURIC
;Salle I105;;;Salle G105
;;;;
13h10-18h;13h30-17h45;13h30-17h45;13h30-17h45;13h30-17h45
"LV
(Voir planning)";GROUPE C&D;CONCEP.LOGICIELLE/BIG DATA;;MSO1 OUVERTURE
;;;;AWS Cloud Foundations
;Projet;;;T.AUFORT / Y.COSSIN/
;;Pas de cours;;T.PONTHIEU
;F. JOLY;;;
;;;;Salle G102
;Salle I105 - Groupe C;ROBOTIQUE;;
;Salle I200 - Groupe D;Interaction Homme/Robot;;Information géographique
;;;;13h00 à 17h00
;;F.JUMEL;;L. DUPONT / F.NICOLLET
;;Salle I207;;Salle G103
;;ELECTRONIQUE ET SYST EMB;;
;;Electronique analogique;;Conception architecture
;;intégrée;;système
;;R.CELLIER;;L. GUILLEMAUD
;;CIMIRLY (INSA);;Salle Grand Conseil
;;GroupeA-B;;
;;INFRA DES RESEAUX;;
;;;;Information quantique
;;Le routage dans les réseaux;;
;;IP;;B. FEDRICI
;;T.ASFOUR;;Salle G108
;;Salle G103;;
;;IMAGE;;Algorithmique et Informatique
;;Traitement d'images;;Théorique
;;E. VAN REETH;;G.MOREL
;;salle G108;;Salle I302
