LUNDI;MARDI ;MERCREDI;JEUDI;VENDREDI
;;;;
22-mars;23-mars;24-mars;25-mars;26-mars
8h30 - 10h00;8h00 - 12h15;8h00 - 12h15;8h00 - 12h15;8h00 - 12h15
;;;;
Examen 1ère session;Groupe A;Groupe A;Modules Semi-Optionnels;Modules Semi-Optionnels
Plans d'Expériences ;8h00 - 10h00;8h00 - 10h00;Série 3;Série 4
;Pas de Cours;Pas de Cours;;
;;;Chimie Médicinale et Hétérocycles;Synthèse de Molécules bioactives
;10h15 -12h15;10h15 -12h15;8h00 - 12h15 : B.JOSEPH;8h00 - 12h15 : T. BILLARD
Salles : F001 à F008;TP Plans d'Expériences;TP Plans d'Expériences;Webex/Teams;Salle F008
;P.LANTERI;P.LANTERI;;
;Groupe A1 Salle C325A;Groupe A1 Salle C325A;;
(voir répartition dans les salles sur tableau d'affichage 4CGP);Groupe A2 SalleC325B;Groupe A2 SalleC325B;Génie de la réaction chimique avancée;
;;;8h00 - 12h15 : P.FONGARLAND;De la molécule aux nanomatériaux
;;;Webex/Teams;Pas de Cours 
;Groupe B;Groupe B;;
;8h00 - 12h00;8h00 - 12h15;;
;Projet d'Industrialisation des;Pas de Cours;Transition Energétique;
;Procédés;;8h00 - 12h15 : S.PELLET-ROSTAING;
;Groupes B1 à B6 : P. COQUERET;;Webex/Teams;TP Approche de la Formulation, 
;Salle F002;;;Cosmétologie
10h15 - 12h15;Groupes B7 à B12 : JP. HERAUD;;;8h00 - 12h15 : E. ELMOUAZEN  
;Salle F003;;;Labo Hydraulique / Labo TP Chimie Organique 
;;;Analyse en ligne;
;;;8h00-12h15 :  D.SARMEO;
;Groupe C;Groupe C;F005;
;8h00 - 10h00;8h00 - 10h00;;
;TP Plans d'Expériences;TP Plans d'Expériences;;
;P.LANTERI;P.LANTERI;;Chimie Nucléaire
;Groupe C1 Salle C325A;Groupe C1 Salle C325A;Synthèse Macromoléculaire;8h00 - 10h00 :F.LARGER
;Groupe C2 SalleC325B;Groupe C2 SalleC325B;8h - 10h : F.BRUNEL;10h15 - 12h15 : C. OBERLIN
;;;10h15 - 11h15 :  F. D'AGOSTO;Salle F006/007
;10h15 -12h15;10h15 -12h15;10h15 - 11h15 :  V.MONTEIL;
;Pas de Cours;Pas de Cours;Webex/Teams;
;;;;Méthodes Numériques
;;;;8h00 - 12h15 : K. FIATY
;;;;SalleB 319 B
;;;;
;;;;
;;;;
;;;;
;;;;
13h10 - 18h00;13h30 - 17h30;13h30 - 17h30;13h30 - 17h30;13h30 - 17h45
;;;;
;Groupe A;Groupe A;Modules Semi-Optionnels;Modules Semi-Optionnels
;13h30 - 15h30;13h30 - 17h30;Série 4;Série 2
;TP Plans d'Expériences;Projet d'Industrialisation des;;
;P.LANTERI;Procédés;TP Approche de la Formulation, ;Stratégie de Synthèse Organique
;Groupe A1 SalleC325B;Groupes A1 à A6 : M. DOLIDIER;Cosmétologie;13h30 - 17h45 : P. GOEKJIAN
;Groupe A2 Salle C325A;Salle F008;13h30 - 17h45 : E. ELMOUAZEN  ;Salle F002/003
;;Groupes A10 à A12 : M. ARNAUD;Labo Hydraulique / Labo TP Chimie Organique ;
;15h45 - 17h45;Salle F007;;
;Pas de Cours;14h00 - 16h00;;Ingénierie Macromoléculaire
;;Groupes A7 à A9 : C. CROISET;;13h30 - 15h30 : V.MONTEIL
;;Salle F006;;15h45 - 17h45 : T.HAMAIDE
LANGUES;;;;Webex/Teams
;Groupe B;Groupe B;;
;13h30 - 15h30;13h30 - 15h30;;TP Spectrométries RMN et masse 
;Pas de Cours;Pas de Cours;;avancées
;;;;13h30 à 17h45 : M. HOLOGNE 
;15h45 - 17h45;15h45 - 17h45;;Rdv à l'ISA 
;TP Plans d'Expériences;TP Plans d'Expériences;;5 rue de la DOUA - Villeurbanne
(Voir sur Planning;P.LANTERI;P.LANTERI;;
spécifique des langues);Groupe B1 Salle C325A;Groupe B1 Salle C325A;;Microbiologie - Immunologie -
;Groupe B2 SalleC325B;Groupe B2 SalleC325B;;Eléments de Génie Génétique
;;;;13h30 - 17h45 : D.PONCET
;Groupe C;Groupe C;;Webex/Teams
;Projet d'Industrialisation des;13h30 - 15h30;;
;Procédés;TP Plans d'Expériences;;
;13h30 - 17h30;P.LANTERI;;Simulation stationnaire des Procédés
;Groupes C1 à C6 : P.CUILLE;Groupe C1 SalleC325B;;13h30 - 17h45 : P. BOUCOT / H.PROVENDIER /
;Salle F002;Groupe C2 Salle C325A;;N. RODRIGUEZ / P.MONKAM
;Groupes C7 à C12 : M. ARNAUD;;;Salle C325 A & B
;Salle F003;15h45 - 17h45;;
;;Pas de Cours;;
;;;;
