LUNDI;MARDI;MERCREDI;JEUDI;VENDREDI;
03-avr;04-avr;05-avr;06-avr;07-avr;
8h-12h15;8h-12h15;8h-12h15;8h-12h15;8h-12h15;
CONCEP.LOGICIELLE/BIG DATA;GROUPE A;GROUPE A & B;GROUPE C;CONCEP.LOGICIELLE/BIG DATA;
;;;;;
;Projet ;Projet ;Projet ;;
Pas de cours ;;;;Pas de cours ;
;F. JOLY;F. JOLY;F. JOLY;;
;;;;;
ROBOTIQUE;Salle info;Salles info;Salle info;ROBOTIQUE;
;;;;Modélisation des Robots;
;CONCEP.LOGICIELLE/BIG DATA;ROBOTIQUE;ROBOTIQUE;;
Pas de cours ;GROUPE C &D;GROUPE C&D;GROUPE A & B;R.LEBER;
;Conception Orientée Objet et Design Patterns;Interaction Homme/Robot;Interaction Homme/Robot;Salle;
;;;;15h00 à 17h45;
ELECTRONIQUE ET SYST EMB;B.MASCRET;F.JUMEL;F.JUMEL;ELECTRONIQUE ET SYST EMB;
Communications numériques;; Salle info; Salle info;Communications numériques;
; Salle info;;;;
N.LEBEDEV;;;;N.LEBEDEV;
 Salle ;;;; Salle ;
08h00 à 10h00;;;;;
INFRA DES RESEAUX ;;;;INFRA DES RESEAUX ;
Communications numériques;;;;Communications numériques;
;;;;;
N.LEBEDEV;;;;N.LEBEDEV;
 Salle ;;;; Salle ;
08h00 à 10h00;;;;;
IMAGE ;;;;IMAGE ;
Traitement d'images ;;;;Analyse Numérique;
;;;;;
E. VAN REETH /M.FOARE ;;;;S.MAZAURIC ;
10h30 à 12h30 :  Salleinfo ;;;;10h30 à 12h30 :  Salle;
;;;;;
;;;;;
;;;;;
;;;;;
13h10-18h;13h30-17h45;13h30-17h45;13h30-17h45;13h30-17h45;
;GROUPE C&D;CONCEP.LOGICIELLE/BIG DATA;;MSO1 OUVERTURE;
;;;TP TSA ;AWS Cloud Foundations;
;Projet ;;Séance de Rattrapages ;;
;;Pas de cours ;;O.CARRILLO /  G.MOREL;
;F. JOLY;;; Amphi puis;
;;;P.GONCALVES  /M.FOARE ;Salle info;
;Salles infos;ROBOTIQUE;Salle B121;;
;;;;Information géographique;
;;;;13h00-17h00;
;CONCEP.LOGICIELLE/BIG DATA;Pas de cours ;;L. DUPONT;
LV;GROUPE A&B;;;Salle info;
;Conception Orientée Objet et Design Patterns;;;;
;;ELECTRONIQUE ET SYST EMB;;;
;B.MASCRET;Communications numériques;;Conception architecture;
;;;;système;
; Salle info;N.LEBEDEV;;L. GUILLEMAUD;
(Voir planning);; Salle ;;Salle  ;
;;;;;
;;INFRA DES RESEAUX ;;;
;;Communications numériques;;Information quantique;
;;;;;
;;N.LEBEDEV;;B. FEDRICI;
;; Salle ;;Salle G102;
;;;;;
;;IMAGE ;;;
;;Programmation générique en C++;;Algorithmique et Informatique Théorique ;
;;;;;
;;T.DUPONT;;;
;;Salle info ;;G.MOREL;
;;;;Salle info ;
;;;;;
;;;;;
;;;;;
;;;;;
